umap1,umap2
14.768664,11.589106
14.2846985,11.290708
0.022974446,7.4918933
-1.5120727,11.125112
-1.04428,7.7334514
4.300521,7.4894485
-4.3639007,4.600748
-1.5150248,8.548249
-1.1062123,9.087577
8.5339365,12.4575405
-1.4716244,8.183684
4.6108766,7.925697
-2.2850776,17.851665
9.288082,12.305568
-3.9085307,5.5465846
-2.1820128,9.221921
3.134894,-1.0882819
-2.1063075,8.722397
9.080955,10.871638
12.32168,-3.008357
-4.9536896,5.47748
4.5111017,5.842915
-2.9632237,5.678611
6.9082384,5.7532682
-1.2583481,8.458552
-4.7404246,5.36438
13.030731,12.005266
7.4583526,4.7175198
-0.45548257,8.213213
13.079567,12.015824
9.130169,11.740544
14.292407,-2.983458
2.5634682,5.8305497
8.276811,11.198957
8.1844015,11.962738
-3.0301182,17.545033
1.5262578,5.7548265
7.728152,-2.5407186
-1.680709,8.515388
-0.018916208,7.6601667
10.143521,11.561426
-4.388838,4.929092
-1.7878883,5.5295253
3.0451918,-0.97002834
-1.8229938,9.51898
-4.0907755,6.0994697
8.846355,10.601999
12.530248,-2.9310763
-1.23358,7.938773
9.148484,10.450487
3.967321,6.9927254
14.53311,11.189167
4.2558537,5.5932884
-5.4775734,5.2958746
-1.0511847,5.607885
8.628025,12.228715
6.366578,5.588239
-2.042177,9.615072
13.248376,11.562879
-4.124915,5.754858
13.231255,12.335044
-3.9427183,4.6361833
-1.2204072,8.302096
3.5007753,5.582173
12.888657,11.706904
-5.2430787,5.1216254
3.9976156,7.0936046
-5.0470963,5.7571855
14.380703,12.13634
13.345573,12.195014
-1.0431976,8.275224
-7.0345535,5.8850703
14.245161,12.262832
0.03137722,7.692565
-4.385624,5.817586
13.497894,12.660173
-2.0584507,8.906839
8.063435,11.428673
13.988293,11.710343
-3.1916392,17.812845
-0.9578908,8.571128
0.039914977,7.6285806
-0.7254333,9.2187805
1.7472284,5.747666
13.25768,12.665625
5.604212,8.805054
-1.8335712,8.82773
-0.25340554,8.771396
