vivae1,vivae2
-0.8252596,1.4302984
1.0419358,2.3922803
0.1588282,1.6925743
-0.583004,1.1021367
3.202616,-0.34640774
0.72731006,0.21237528
-1.7413962,-2.337328
-0.3032938,3.0328808
-1.0151311,1.4548296
0.272575,-0.46032208
-1.6995437,1.4346764
-1.4654794,1.4340143
-0.845826,0.8427726
1.298998,-0.6925688
-0.23374113,2.606267
-1.5937034,2.4964373
2.3646111,2.5294611
2.7316492,-0.50489056
0.12326072,0.123735964
-0.8846802,0.79704356
-0.518839,-0.1150967
-1.1372256,-1.9106414
-0.49882603,-0.515402
-0.07656398,2.824651
2.0270169,-0.3056007
-1.4876245,1.0558681
1.1079214,0.63182664
-0.67009544,-3.4779396
2.0638742,-2.348244
-0.14647669,-0.76743984
1.2245561,-1.1568087
3.9957411,0.18399343
-0.25830764,-2.4197776
0.69359356,1.4056013
-0.23640451,-2.0957792
0.051144645,2.6307456
-0.20873153,-1.1436574
-0.61427236,1.4151329
-1.3732644,-1.787163
-1.5965347,-2.016887
1.6837096,-0.8884771
-1.5072732,-2.7152286
-0.40446663,-0.38951293
-0.51982826,2.7505817
0.16506872,-1.2420412
-0.4861377,-2.452852
0.9116957,0.10153778
0.053860642,2.9564984
-1.961724,-1.4493452
-0.15322375,1.469923
1.4102906,-1.8117238
-1.0285398,-2.0584934
-0.79639405,-2.1950064
1.5210397,-1.0223393
-0.18187812,2.3706288
-1.5519753,0.83417904
-1.6246529,1.0373305
-1.4587849,-0.6492858
-0.42784375,2.468164
-0.050970085,2.7359207
-1.6525171,-1.8389752
1.3056965,3.144483
-0.8127426,-0.5355165
-1.6511586,-1.8248464
-0.31316254,1.2156278
-1.1882747,1.9037966
0.36381167,1.9760104
-0.73919535,-2.4737513
0.022712436,1.9796377
-0.26579615,1.1105237
-0.06843688,0.5589187
2.7223856,0.043952897
-0.18505141,-0.3312195
-1.2995743,0.65805054
0.6046904,1.8893772
2.0957422,-0.034853816
0.618154,-0.3202647
-0.75547767,1.0760434
1.2807032,2.0675702
-0.5209887,2.1815886
-1.7573602,1.7049397
3.5827584,-0.37293848
-0.57319385,-1.8158607
2.2322822,-2.705813
-1.2577244,2.946278
-1.0212476,1.8393421
2.1699498,1.1116185
2.2179046,0.9108466
0.013287872,-0.65795755
0.5306473,-0.23325607
0.0025940612,2.3903947
-0.74491,2.0568433
0.9723928,2.2269933
-0.9175842,-3.2758389
-0.091510706,1.9556342
-0.82348853,3.2287247
0.3216722,-1.065678
0.2818031,0.36519116
2.4189968,-0.36048007
-1.7705148,-2.6208582
-0.38106838,-0.40835977
1.990236,-2.5692058
-0.7885494,1.4104892
-0.54056007,-0.8103688
1.1470214,0.17657337
-0.19072044,-2.2882893
1.6219846,-0.46051237
0.014807917,-3.0128276
0.9518452,3.5603147
-0.5355254,0.793102
-1.027055,-1.0001404
-0.6252899,1.6523515
-1.0911084,1.2903705
0.6083284,0.89678514
1.0589105,-1.6104273
1.600184,0.4426553
-1.5176245,-2.053877
-0.77479607,-0.57224256
-0.32965526,-0.8143606
-0.036004,-0.5372977
-1.5556796,-2.018715
-1.2865636,-1.9119333
-1.667068,1.4571654
-0.77612007,-0.617108
1.5846767,0.54787195
3.5085156,-0.4633323
1.5402865,-1.5576013
-1.0043365,-0.84483147
-0.62735784,1.0088607
1.5479374,0.23491502
-0.43463725,2.8723927
-0.21310914,0.9616251
-1.3678045,0.8955407
-0.9913959,1.6291431
-0.06119845,2.262722
-0.39062554,1.58266
-0.8317334,0.4729012
1.2010962,1.6669805
-0.6312967,0.7812195
-1.2307363,1.8025597
-1.9200234,-1.7644188
-0.51549745,-1.618817
-0.6492508,-0.9599178
-1.1713948,1.8209882
0.7486848,0.7281885
-0.005541824,2.5892043
3.16885,-0.5853472
-1.1029979,-1.551338
0.98888934,2.0039172
0.7176555,2.5455189
-0.81005424,-0.44777402
-1.6101049,-0.94529927
-1.4273384,-1.5189657
1.0530424,2.8348272
-0.91732675,3.0409052
0.44839486,-0.10388808
-0.13638401,-2.770023
-1.1138498,2.0494843
0.30960947,-0.05137887
-0.9125115,-2.0764277
-0.5417475,2.663993
-1.1355872,1.9122399
1.402265,0.49229947
-1.0380546,2.5281107
-0.41673705,2.2765343
-0.56502676,1.5669035
-1.0353081,-2.8433225
1.0119478,1.8139715
-0.8242096,1.7910522
-1.0281434,-1.4180307
-1.021589,-2.8605912
-0.9206895,-2.5152216
-1.284393,0.8047315
1.4240077,1.8408995
-1.5142003,1.9630121
1.1592886,0.2057488
0.20087668,3.2600026
-1.1425083,1.4818567
-0.13686901,1.0437661
-0.74081564,-0.589777
-1.1635033,1.6829132
1.4085375,0.21789384
1.0104892,2.0155444
-1.216935,-0.5932721
-0.46498615,1.8544326
-0.7171099,1.7767671
1.3130938,1.2314216
-0.70699435,1.7079655
-0.13412696,-0.9361619
2.637445,0.35864258
-0.16421515,2.2497656
1.9042708,0.36240485
-0.8411956,2.1010377
1.0492789,-0.563116
-0.62741756,1.2062862
-0.2500818,2.619987
-0.93889505,-1.6325763
2.3382275,-2.3249724
-0.80627316,0.92114246
-1.1077935,-1.5674107
-0.039550394,-0.5630919
3.2804122,-0.4256487
1.6719257,0.77084625
-0.18851131,-0.8975718
-0.5511878,-0.595997
0.8781855,1.4706076
0.14131087,1.5406134
1.3658814,-0.23830576
-1.0643994,1.4437966
-1.2440233,0.7427112
-0.9458838,-1.1186364
-0.023297146,2.2357128
-1.88627,1.9069773
1.0263343,0.63598335
-0.7550097,1.5927776
-0.32770005,2.0856762
0.21643463,-0.20801055
2.2409625,-0.035114028
-1.6414386,1.787971
0.39577964,-1.2197255
1.0244473,0.30288687
-0.5944349,-2.4083343
2.6977875,0.993369
0.52747226,2.408919
-2.1434264,1.3315382
-0.79270905,-0.24606967
1.1622753,-0.9993231
-0.911271,1.3041439
-1.0327466,-1.6926663
-0.20937234,2.5020385
-1.6458935,-1.9067388
-0.96305317,2.5595722
-0.9012574,1.3356365
2.4463265,0.82530236
-0.8859798,-1.4919372
-0.2423636,2.856735
1.5772748,0.48333016
0.08799474,1.5833123
-1.3346173,-2.5745296
-1.4464695,-1.7019999
-1.0751001,1.1458323
0.2607079,1.6218445
-1.4807147,-2.2433636
-1.2692221,0.7186794
-0.5155788,3.0104778
-2.0070481,-1.92586
-1.4849482,1.9291338
-0.1537525,-0.39059922
-1.3101805,-1.8903278
0.692666,1.6768624
-0.92026585,1.5296193
-1.3011072,0.91341305
-0.3604746,1.0151459
1.6410955,0.8626021
-1.9597092,-1.8729548
0.25100526,0.38745174
-0.85944307,1.5622153
-0.4778065,0.7852112
0.030808382,0.2908079
-0.4672978,-0.3564256
-1.0962566,-2.482247
0.26453313,-0.46184364
-1.1624769,2.8706715
0.21305299,-0.47382385
-1.5889874,-0.85693884
-0.4363128,1.5426756
-0.542893,3.524235
0.26349843,2.5474505
-0.30573615,2.3642042
-1.3052479,1.8880726
-1.499421,-1.3293344
0.23317784,2.7240891
-0.97753507,2.4537432
-1.5025107,-1.1163863
1.4646469,2.6809876
0.48309255,1.1470957
-0.7458452,1.6529558
0.7749635,0.07028493
-2.0145905,-1.8907623
1.0154157,0.3332629
0.14358035,1.4659369
2.2580056,-2.9917176
1.3955567,-2.073683
-1.1402975,-0.53167117
-0.90622336,1.6298127
-0.94132906,-3.0423036
-1.132168,-1.0900159
-0.07852467,0.58909035
-1.1156164,-1.1268287
2.6327221,-1.0081599
