umap1,umap2
14.378254,-2.7594821
8.771548,-2.5613444
-4.759677,4.187436
7.150753,4.779555
-4.2145615,4.5110726
9.338502,-2.007492
-4.5646777,4.188417
-1.5426652,1.3845626
13.82578,-2.7038188
8.882429,14.729079
-4.2918105,4.198281
13.910038,-2.1112695
-0.66860884,0.97957194
5.911917,3.7075546
4.832954,12.365453
-2.1306407,0.8959855
13.430466,-2.7775874
-1.910993,0.8830058
14.675246,-2.9895275
10.047071,-1.9865979
4.2442274,2.0584
11.333838,-2.1983008
8.307239,-1.1213052
-0.16957586,2.1890428
-2.3663166,0.71688634
15.230108,-2.9095225
-1.6816177,-7.757675
4.6526246,1.5447533
-0.5492113,2.7516506
-0.5184727,2.2325895
8.339544,-1.9088578
-1.7815744,1.3651184
3.7486281,-3.6737154
7.327465,4.635469
9.162974,15.74979
14.661368,-3.1188304
-3.7918,5.1007705
6.119951,0.3215483
-5.58794,3.6586506
2.5504427,10.562962
3.9745095,3.808501
-1.3720276,1.9849887
15.020329,-3.2116873
9.638865,12.898891
-1.8430395,4.2468624
-2.3769138,1.6376815
-2.9763396,4.4049315
5.7399216,0.64092344
-1.310533,1.6932003
13.525968,-3.0750225
14.211229,-3.6369345
-0.9954817,2.0427623
13.052644,-3.141525
-4.6581464,5.24381
9.491876,-2.7730954
-2.8175743,4.4018517
7.1852555,-0.4917317
-2.8237026,0.47444943
9.332925,15.84466
-2.06913,-7.6960263
14.274211,-2.7614603
-4.5739045,4.7960825
-1.9306294,-8.360034
7.543057,-0.9033569
-3.893857,4.2620034
-2.5435061,-0.013781865
-4.249483,3.9679956
13.489245,-3.3952787
9.104041,15.831814
2.2200956,10.215473
-1.0269893,1.4778664
-5.508545,4.277702
-0.4073076,3.1080878
-0.39082235,2.680322
-4.2142706,4.040411
-4.0378428,4.3452044
13.5979395,-3.8703358
-4.0669293,4.148288
9.048742,15.97106
13.899058,-3.046357
9.004133,14.346219
-1.5431633,1.9866161
8.31809,-1.5664276
13.159559,-2.584267
8.567442,-1.9419376
-1.4193963,1.5062307
15.188031,-4.0098863
15.248765,-3.1806734
-2.0436378,0.58621466
9.247881,-1.451502
-2.1618636,-7.4817295
-0.5329115,2.265505
-1.9931803,-8.204248
-1.7873144,0.6341664
6.9334483,4.613082
-2.4643505,3.9501853
-1.3975999,2.2192879
8.681014,-2.0019302
-4.036137,4.8081126
9.902935,12.588409
-4.382291,5.2435117
-3.2157495,1.3930129
9.658409,-2.5463219
9.521629,13.042782
-2.4400575,3.8484626
-2.034243,1.4704465
7.4175143,-0.6492641
9.212653,-0.8822755
3.3033583,4.262567
5.059966,4.046393
-4.196744,5.5714865
9.116893,-2.089897
13.149195,-2.6004584
-2.0684965,4.3962393
-1.3127478,0.821998
13.3001375,-2.380339
14.265392,-3.1885092
9.7187805,-1.9634088
8.83888,-1.8008809
-3.5518491,4.549722
9.236318,13.593099
-4.352723,5.3674417
-0.7939006,1.9184955
13.308548,-2.5900862
-7.199007,4.109462
10.23342,-1.5447729
-4.769572,5.0149894
7.223648,-0.46215618
12.644582,-3.0544755
-0.17766799,1.342794
6.446115,0.058077462
14.274194,-3.7315698
0.0073726643,3.9209836
-1.7191294,-7.4229646
4.85386,12.296751
-6.839191,4.158381
13.906808,-2.6865244
13.433658,-2.5000057
-7.138654,4.2029953
9.29074,15.886903
8.798187,-1.3044543
-0.62577504,1.5122428
8.138169,-2.0502317
-2.114435,-7.840074
-1.7229575,-7.77437
-2.0272684,-7.6599736
-2.4597545,1.2599165
-2.4509556,1.4593503
-1.1354408,4.047182
9.010456,-2.7292905
5.192217,1.5444251
8.270695,-1.3598533
14.383264,-3.1301317
9.420902,-1.773198
-3.1550074,4.597138
-1.9795102,-8.3802805
10.115942,-1.4942688
7.1724606,4.7054796
9.19955,-2.2366893
-3.610117,5.1910424
11.844605,-2.3456473
-2.272367,-7.7431107
13.263878,-3.1932778
-2.2682126,0.7753092
12.996718,-3.0401235
-1.4059136,1.1559266
7.1211977,4.7552886
9.361781,-2.230945
1.8182992,4.0134115
6.7059984,4.4486675
10.647327,-2.2054164
2.082364,3.833283
10.583336,-2.2091362
6.253964,3.8373806
-2.2641654,-7.4367
9.447396,-2.6154675
9.139981,15.862249
5.2290463,1.0579981
-4.7890487,4.861016
14.17851,-3.6631358
14.533105,-3.3713171
14.556428,-2.4489326
5.9965525,3.8198547
-2.1877565,0.40308604
9.03952,15.836266
-4.1712513,4.502733
13.47183,-2.9767644
15.410311,-3.189188
-1.0933259,1.7848248
-4.560926,4.903938
5.916621,0.49326423
8.586689,14.141372
14.265726,-2.2168918
-1.8003619,0.49280474
-3.9372861,4.7020664
-1.6635962,-8.161304
-0.44947165,2.4425387
12.8675585,-2.8407311
7.4380574,4.8535857
-3.9490392,4.060417
2.4804301,10.467442
9.240329,-2.180831
2.4447503,10.441028
-1.2483774,2.0297544
4.9545436,12.185896
-2.8441932,0.040117256
