dm1,dm2
-0.08929620803714115,-0.03595358705150261
-0.08932752801001206,-0.03599922664403279
-0.08904981711396191,-0.03661394820002789
-0.08903857663128824,-0.03655688664092749
-0.08899385978652287,-0.036351653988522574
-0.08933152543938301,-0.03599053637507064
-0.08833719889181164,-0.03597160489767954
-0.08936863621726839,-0.036043566944773196
-0.06560950085163257,-0.03761618293255151
-0.08904576934951684,-0.0365709470276864
-0.08946399529834029,-0.03596919876041309
-0.08931396781279397,-0.03608669080419528
-0.08897080829960115,-0.03629464327884891
-0.08902246561998362,-0.03645242133009941
-0.08905023903023815,-0.036598554178850995
-0.08947107353274499,-0.035978711196260074
-0.08937355181920277,-0.03602959329297424
-0.08879556112341744,-0.03594334625990385
-0.08904103642414508,-0.036620755941137416
-0.08936384457254708,-0.035982729493478555
-0.08882780631427709,-0.035992858468376444
-0.08904652908729911,-0.036609005657872624
-0.08937233886688788,-0.03602578968512366
-0.0893327107644835,-0.03599902434112212
-0.08884119190484743,-0.034955385493247074
-0.08936497742379523,-0.03598717821775969
-0.08937132012018016,-0.0360259593222169
-0.08934525427566901,-0.036005516299681704
-0.08904087423012458,-0.03662165962732349
-0.0894665540181914,-0.03597453938235696
-0.08933301154685455,-0.03599238290404085
-0.08904944687775868,-0.03659049363124559
-0.0890452151737818,-0.03662119833444685
-0.0890447009196775,-0.036618125314442286
-0.08930996063023787,-0.03590487690784148
-0.08923450659483956,-0.036060524034386206
-0.08932773509868398,-0.03596394856300133
-0.08881932359500616,-0.03518781081265599
-0.08936069043206903,-0.03604785703982316
-0.08932894113743389,-0.03598249315585189
-0.08929904438483983,-0.035985158289085134
-0.08898377793789772,-0.03630871074451408
-0.08932759842077054,-0.03596900536512269
-0.08882211422057804,-0.03556058188531235
-0.08946061439229082,-0.035961561517461924
-0.08899843664880183,-0.03634690316717691
-0.08936903869333637,-0.036024284622661384
-0.08932976932695506,-0.035999430056337656
-0.0883380255147334,-0.03596826760892285
-0.0893330921552852,-0.03599458024555021
-0.08897318687473908,-0.036296343858856425
-0.07162340803969422,-0.037362848712385335
-0.0893691873433838,-0.03604171128242533
-0.08898840009984826,-0.033895181606940925
-0.08936463844008151,-0.035995855031478625
-0.08886750625022133,-0.035866048819323856
-0.08932397399539208,-0.03596966737467438
-0.08937161124115886,-0.036040587653289324
-0.08904962849735237,-0.03659132027278735
-0.0888977079508535,-0.03591325414269251
-0.08930751809992708,-0.035946317460881574
-0.0890503027389839,-0.036597919631917185
-0.08898202373493384,-0.03630804739012453
-0.06569453213649974,-0.0376160307387808
-0.08918778196686379,-0.03433127299370228
-0.08896035357805981,-0.03626853111583423
-0.0889643715180094,-0.036272203005515
-0.08945907198473307,-0.03595982245024199
-0.08927310835108945,-0.034906611746695015
-0.08332902268665601,-0.036456380721418984
-0.0893290749755883,-0.03598513947701146
-0.08930955811979689,-0.03592381200055438
-0.0890112793641598,-0.03641005786870541
-0.08937073664023339,-0.03603777940208646
-0.08935349745652851,-0.03585937793773197
-0.08835614204594222,-0.03594510910658082
-0.08932923597326231,-0.035993797868966275
-0.08936036345715648,-0.036024004725568645
